title,type,location,bedrooms,bathrooms,price_qar,area_sqm,district,city,segment,type_encoded,cluster
Modern 2-Bedroom Living Done Right,Apartment,"Ezdan Villages North 1, Ezdan Village, Al Wakra",2.0,2.0,3800,94.0,Ezdan Village,Al Wakra,Budget,0,0
Comfortable 3-Bedroom Living Space,Apartment,"Ezdan Villages North 1, Ezdan Village, Al Wakra",3.0,2.0,5100,114.0,Ezdan Village,Al Wakra,Budget,0,0
2 Bedrooms Designed Around Your Life,Apartment,"Ezdan Villages North 1, Ezdan Village, Al Wakra",2.0,2.0,3700,92.0,Ezdan Village,Al Wakra,Budget,0,0
Designed for Family Life – 3 Bedrooms,Apartment,"Ezdan Villages North 1, Ezdan Village, Al Wakra",3.0,2.0,4900,116.0,Ezdan Village,Al Wakra,Budget,0,0
Balanced Living in a 3-Bedroom Home,Apartment,"Ezdan Villages North 1, Ezdan Village, Al Wakra",3.0,2.0,5100,114.0,Ezdan Village,Al Wakra,Budget,0,0
Modern 2-Bedroom Living Done Right,Apartment,"Ezdan Villages North 1, Ezdan Village, Al Wakra",2.0,2.0,3650,92.0,Ezdan Village,Al Wakra,Budget,0,0
Hassle-Free Living in a Furnished 1-Bedroom,Apartment,"Ezdan Villages North 1, Ezdan Village, Al Wakra",1.0,1.0,2800,42.0,Ezdan Village,Al Wakra,Budget,0,0
Practical Living in a 4-Bedroom Villa,Apartment,"Ezdan Villages North 1, Ezdan Village, Al Wakra",4.0,3.0,7400,156.0,Ezdan Village,Al Wakra,Budget,0,0
"More Space, Better Living – 4 Bedrooms in Al Wakra",Apartment,"Ezdan Villages North 1, Ezdan Village, Al Wakra",4.0,3.0,7400,154.0,Ezdan Village,Al Wakra,Budget,0,0
new brand 2bhk for rent in umm qarn(1month free),Apartment,"Umm Qarn, Al Daayen",2.0,2.0,4200,97.0,Umm Qarn,Al Daayen,Budget,0,0
Spacious Villa For Rent With Good Price in Messila,Compound,"Al Messila, Al Messila, Doha",3.0,4.0,10000,225.0,Al Messila,Doha,Luxury,2,1
Limited Number of Units Available - 3BHK FF,Apartment,"Al Safwa Compound, Al Wukair, Al Wakra",3.0,3.0,8500,180.0,Al Wukair,Al Wakra,Budget,0,0
Charming 1-Bedroom Fully Furnished Apartment,Apartment,"Ezdan Oasis, Al Wukair, Al Wakra",1.0,1.0,3650,82.0,Al Wukair,Al Wakra,Budget,0,0
NO COMMISSION| BRAND NEW| 2 MONTHS FREE| FULLY FUR,Apartment,"The Pearl Island, Doha",2.0,3.0,11971,118.0,The Pearl Island,Doha,Budget,0,0
LUXURY SERVICED APARTMENT-NO COMM - BILLS INCLUDED,Hotel Apartments,"Musheireb, Doha",1.0,1.0,9000,100.0,Musheireb,Doha,Mid-Range,3,2
Tala Res. | 1 BHK | 1 Months Free | No Commission,Apartment,"Tala Residence, Al Gharrafa, Doha",1.0,2.0,5000,90.0,Al Gharrafa,Doha,Budget,0,0
NO COMMISSION| 2 MONTHS FREE| BRAND NEW,Apartment,"The Pearl Island, Doha",1.0,2.0,8507,100.0,The Pearl Island,Doha,Budget,0,0
Furnished 2BHK | 3 Baths | 1 Month Free,Apartment,"Fereej Bin Mahmoud South, Fereej Bin Mahmoud, Doha",2.0,3.0,6500,105.0,Fereej Bin Mahmoud,Doha,Budget,0,0
No Commission | FF 2BHK Apartment,Apartment,"Al Mansoura, Al Mansoura, Doha",2.0,2.0,5000,120.0,Al Mansoura,Doha,Budget,0,0
Fully Furnished 2BHK Musheireb,Apartment,"Musheireb Tower, Musheireb, Musheireb, Doha",2.0,2.0,4800,120.0,Musheireb,Doha,Budget,0,0
1 Bedroom FF All incl. No commission,Apartment,"Tower 14, Viva Bahriyah, The Pearl Island, Doha",1.0,1.0,9171,127.0,The Pearl Island,Doha,Budget,0,0
2BR Luxury Apartment,Apartment,"Dusit Hotel & Suites Doha, Diplomatic Street, West Bay, Doha",2.0,3.0,12000,166.0,West Bay,Doha,Budget,0,0
Crazy Price Huge 1BDR include All Bills Balcony,Apartment,"Anas Street, Fereej Bin Mahmoud North, Fereej Bin Mahmoud, Doha",1.0,1.0,2900,65.0,Fereej Bin Mahmoud,Doha,Budget,0,0
Beachfront Villa 1 bedroom All inc FF No commiss,Villa,"Tower 14, Viva Bahriyah, The Pearl Island, Doha",1.0,2.0,12000,155.0,The Pearl Island,Doha,Budget,1,0
Hotel Suite with Kitchenette - Retaj Inn Al Wakrah,Apartment,"Al Wakrah, Al Wakra",1.0,1.0,5500,75.0,Al Wakrah,Al Wakra,Budget,0,0
Asas Twin Towers–The Ultimate Address in West Ba,Apartment,"Tower A, ASAS Twin Towers, West Bay, Doha",2.0,3.0,9000,138.0,West Bay,Doha,Budget,0,0
Unfurnished 3 bedroom apartment with parking,Apartment,"Al Muntazah, Doha",3.0,3.0,5500,180.0,Al Muntazah,Doha,Budget,0,0
Fully Furnished 1-Bedroom Executive Apartment,Hotel Apartments,"West Bay, Doha",1.0,2.0,11500,77.0,West Bay,Doha,Mid-Range,3,2
F F 2BR AT OLDAIRPORT WITH GRACE PERIOD,Apartment,"Old Airport Road, Old Airport Road, Doha",2.0,2.0,5300,100.0,Old Airport Road,Doha,Budget,0,0
Hotel Room King bed - Retaj Inn Al Wakrah,Apartment,"Al Wakrah, Al Wakra",1.0,1.0,4000,40.0,Al Wakrah,Al Wakra,Budget,0,0
Short Term Fully Furnished 2 BHK All Inclusive,Apartment,"Al Aziziyah, Al Aziziyah, Doha",2.0,2.0,4300,90.0,Al Aziziyah,Doha,Budget,0,0
Stunning brand new 4 bed villas,Compound,"Janayin Al Waab, Al Waab, Doha",4.0,6.0,20500,480.0,Al Waab,Doha,Luxury,2,1
Limited Offer | Brand New 1Br | SF | Balcony,Apartment,"Crystal Residence, Gewan Island, The Pearl Island, Doha",1.0,2.0,7000,90.0,The Pearl Island,Doha,Budget,0,0
Limited Units!! 1Br | FF | Bills Inc | Balcony,Apartment,"Giardino Apartments, The Pearl Island, Doha",1.0,2.0,6600,80.0,The Pearl Island,Doha,Budget,0,0
Fully Furnished 2+ Maid With Bills Included,Apartment,"Floresta Gardens, Floresta Gardens, The Pearl Island, Doha",2.0,3.0,10040,140.0,The Pearl Island,Doha,Budget,0,0
Luxury 2 Bedrooms | Premium Furnishing | Sea View,Apartment,"Burj DAMAC Waterfront, Waterfront Residential, The Waterfront, Lusail",2.0,2.0,10250,120.0,The Waterfront,Lusail,Budget,0,0
Limited 1Br Units !!! FF | Balconies | Sea View,Apartment,"Viva East, Viva Bahriyah, The Pearl Island, Doha",1.0,2.0,7847,90.0,The Pearl Island,Doha,Budget,0,0
Last Units !!! 1 Br | SF | Balconies | Sea View,Apartment,"Viva West, Viva Bahriyah, The Pearl Island, Doha",1.0,2.0,6923,89.0,The Pearl Island,Doha,Budget,0,0
Amazing Sea View 2 Bedroom Apartment for Rent,Apartment,"Viva West, Viva Bahriyah, The Pearl Island, Doha",2.0,3.0,8500,142.0,The Pearl Island,Doha,Budget,0,0
